Top,Middle,Bottom,Received,Approved,Funded
Google Ads,Google Ads>Google Ads>Google Ads>Google Ads,Google Ads,596,189,170
Google Ads,,,693,194,168
Google,,,309,119,107
Google Ads,,Google,270,106,99
Bing,,,183,82,78
Google Ads,,Google Ads,270,74,68
Meta,,,383,39,34
Google Ads,Google Ads,Google,112,33,29
Google Ads,Google Ads>Google Ads>Google Ads>Email,Google Ads,71,24,23
Google Ads,Google Ads>Google Ads,Google,63,21,21
Google Ads,Google Ads>Google Ads>Google Ads>Google Ads,SBT,54,21,21
Google Ads,Google Ads>Google Ads>Google Ads>Google Ads,Email,81,25,20
Google Ads,Google Ads>Google Ads>Google Ads,Google,63,21,19
Google Ads,Google Ads>Google Ads>Google Ads>Google Ads,Google,62,19,18
Email,Google Ads>Google Ads>Google Ads>Google Ads,Google Ads,46,18,18
Google Ads,Email>Google Ads>Google Ads>Google Ads,Google Ads,47,18,17
Google Ads,Google Ads>Google Ads>Email>Google Ads,Google Ads,60,20,16
Email,,,52,16,14
Google Ads,Google Ads>Email>Google Ads>Google Ads,Google Ads,49,15,13
Bing,,Bing,33,14,13
Google Ads,Google Ads>Google Ads>Google Ads>SBT,Google Ads,33,14,13
Google Ads,,Android,41,13,12
Google Ads,Google Ads>Google Ads>SBT>Google Ads,Google Ads,37,10,10
Google Ads,Google Ads,Google Ads,29,10,8
Google Ads,Google Ads,Android,25,10,8
SBT,Google Ads>Google Ads>Google Ads>Google Ads,Google Ads,23,8,8
Email,,Google,18,8,8
Google Ads,Google Ads>SBT>Google Ads>Google Ads,Google Ads,16,8,8
Google Ads,Google Ads>Google Ads,Android,25,8,7
Google Ads,Google Ads>Google Ads>Google Ads>Google Ads,Organic,17,6,6
Email,,Google Ads,14,6,6
Google Ads,SBT>Google Ads>Google Ads>Google Ads,Google Ads,15,7,5
Google Ads,Google Ads>Google Ads>SBT>Google Ads,SBT,15,6,5
Google Ads,Google Ads>Google Ads>Google Ads,Android,18,5,5
SBT,,,14,5,5
Google Ads,Google Ads>Google Ads>Google Ads>ChatGPT,Google Ads,8,5,5
Email,Google Ads,Google,6,5,5
Google Ads,Google Ads>Google Ads>Google Ads>Google Ads,Meta,12,7,4
Google Ads,Google Ads>Google Ads>Google Ads>Email,Email,12,6,4
Google Ads,,Organic,15,5,4
Android,,,20,4,4
Google Ads,Google Ads>Google Ads>Google Ads>Google Ads,Android,16,4,4
Google Ads,Email>Google Ads>Email>Google Ads,Google Ads,9,4,4
Google Ads,,Bing,5,4,4
Google Ads,Google Ads>Google Ads>Google Ads>Meta,Google Ads,12,4,3
Google Ads,Google Ads>Google Ads,Google Ads,11,4,3
Google Ads,Meta>Google Ads>Google Ads>Google Ads,Google Ads,7,4,3
Google Ads,Google Ads>Google Ads>Email>Google Ads,Email,6,4,3
Google Ads,Google Ads,Organic,13,3,3
Google Ads,Google Ads>Google Ads>Email>Email,Google Ads,10,3,3
Email,Google Ads>Google Ads>Google Ads,Google,7,3,3
Google,,Android,6,3,3
Google Ads,Google Ads>Google Ads>ChatGPT>Google Ads,Google Ads,5,3,3
Google Ads,Google Ads>Google Ads>SBT>Email,Google Ads,5,3,3
Google Ads,SBT>Google Ads>Google Ads>Email,Google Ads,5,3,3
SBT,,Google Ads,5,3,3
Google Ads,Email>SBT>Google Ads>Google Ads,Google Ads,4,3,3
Google Ads,Google Ads>Bing>Bing>Bing,Bing,4,3,3
Google Ads,Google Ads>Google Ads>Google Ads>Bing,Google Ads,4,3,3
Email,Google Ads>Google Ads>Google Ads>Google Ads,SBT,3,3,3
Google Ads,Google Ads>Google Ads>News25>Google Ads,Google Ads,3,3,3
Google Ads,Google Ads>Google Ads>Email>Google Ads,SBT,10,3,2
Google Ads,Email>Google Ads>Google Ads>Google Ads,Organic,5,3,2
Google Ads,Google Ads>Email>Google Ads>SBT,Google Ads,3,3,2
Yahoo,,,11,2,2
Google Ads,Google Ads>Email>Email>Google Ads,Google Ads,8,2,2
Google Ads,Email>Google Ads,Google Ads,6,2,2
Google Ads,Google Ads>SBT,Google,6,2,2
Google Ads,Email,Google,5,2,2
Google Ads,Email>Email>Google Ads>Google Ads,Google Ads,5,2,2
Google Ads,Google Ads>Google Ads>Google Ads,Organic,5,2,2
Google Ads,SBT>Google Ads>Google Ads>Google Ads,Email,5,2,2
Bing,Bing,Bing,4,2,2
Bing,Google Ads>Google Ads>Bing>Bing,Bing,4,2,2
DuckDuckGo,,,4,2,2
Google Ads,Google Ads>Google Ads>Flyer>Google Ads,Google Ads,4,2,2
Google Ads,Google Ads>Google Ads>Google Ads>Android,Organic,4,2,2
Google Ads,Google Ads>Google Ads>Google Ads>Flyer,Google Ads,4,2,2
SBT,Google Ads>Google Ads>Google Ads>Google Ads,SBT,4,2,2
Bing,Bing>Bing>Google Ads>Bing,Google Ads,3,2,2
Email,Google Ads>Google Ads,Google,3,2,2
Google Ads,,SBT,3,2,2
Google Ads,Bing,Bing,3,2,2
Google Ads,Bing>Bing>Google Ads>Google Ads,Bing,3,2,2
Google Ads,Bing>Google Ads>Bing>Google Ads,Bing,3,2,2
Google Ads,Google Ads,Email,3,2,2
Google Ads,Google Ads>Email,Google,3,2,2
Google Ads,Google Ads>Google Ads>Bing>Bing,Google Ads,3,2,2
Google Ads,Google Ads>Google Ads>Google Ads>SBT,Organic,3,2,2
Google Ads,Google Ads>Google Ads>MailChimp>Google Ads,Google,3,2,2
SBT,Google Ads>Google Ads,Google Ads,3,2,2
Android,,Google,2,2,2
Bing,Google Ads,Google,2,2,2
DuckDuckGo,,Google,2,2,2
Email,,Hero Image,2,2,2
Email,Google Ads>Google Ads>QR>Google Ads,Google Ads,2,2,2
Google Ads,Bing>Bing>Bing>Bing,Google Ads,2,2,2
Google Ads,Bing>Bing>Bing>Google Ads,Bing,2,2,2
Google Ads,Email>Google Ads>Google Ads>ChatGPT,Google Ads,2,2,2
Google Ads,Google Ads>Email>Google Ads>Google Ads,Email,2,2,2
Google Ads,SBT>Email>Google Ads>Google Ads,Google Ads,2,2,2
SBT,Google Ads>Google Ads>Email>Google Ads,Google Ads,2,2,2
Google Ads,Google Ads>Google Ads>Email,Google,7,2,1
Organic,,,7,2,1
Google Ads,,Email,5,2,1
Google Ads,Google Ads>Bing>Bing>Bing,Google Ads,4,2,1
Email,,Android,3,2,1
Google Ads,Google Ads>Google Ads>Google Ads>Email,Organic,3,2,1
